Name,GlobalParcelle,Parcelle,Barber,Sexe,BioConv,Mcentroid,Ecentroid,Ecentroid2
ind1,A,A1,A1B1,f,Bio,2473,2765,3512
ind2,A,A1,A1B1,m,Bio,2464,2619,2575
ind3,A,A1,A1B1,f,Bio,2566,2494,2643
ind4,A,A1,A1B1,m,Bio,2673,2490,1883
ind5,A,A1,A1B2,f,Bio,2528,2625,2586
ind6,A,A1,A1B2,m,Bio,2423,2297,2336
ind7,A,A1,A1B2,f,Bio,2522,2533,2635
ind8,A,A1,A1B2,m,Bio,2541,2489,2708
ind9,A,A2,A2B1,f,Conv,2533,2429,2478
ind10,A,A2,A2B1,m,Conv,2382,2460,2909
ind11,A,A2,A2B1,f,Conv,2922,3369,2655
ind12,A,A2,A2B1,m,Conv,2490,2029,2439
ind13,A,A2,A2B2,f,Conv,2529,2450,2423
ind14,A,A2,A2B2,m,Conv,2273,2141,2107
ind15,A,A2,A2B2,f,Conv,2637,2865,2484
ind16,A,A2,A2B2,m,Conv,2440,2416,2435
ind17,B,B3,B3B1,f,Bio,2436,2510,2392
ind18,B,B3,B3B1,m,Bio,2404,2391,2612
ind19,B,B3,B3B1,f,Bio,2603,2592,2469
ind20,B,B3,B3B1,m,Bio,2595,1509,2533
ind21,B,B3,B3B2,f,Bio,2771,2804,2841
ind22,B,B3,B3B2,m,Bio,2551,2577,2612
ind23,B,B3,B3B2,f,Bio,2454,2998,2670
ind24,B,B3,B3B2,m,Bio,2487,2659,2536
ind25,B,B4,B4B1,m,Conv,2501,2847,2363
ind26,B,B4,B4B2,m,Conv,2395,2379,2280
ind27,B,B4,B4B1,f,Conv,2546,3073,3087
ind28,B,B4,B4B2,m,Conv,2491,2491,2491
ind29,C,C5,C5B1,f,Bio,2321,2325,2396
ind30,C,C5,C5B1,m,Bio,2533,2829,2521
ind31,C,C5,C5B1,f,Bio,2685,2684,2979
ind32,C,C5,C5B1,m,Bio,2448,2401,2276
ind33,C,C5,C5B2,f,Bio,2771,2610,2598
ind34,C,C5,C5B2,m,Bio,2423,2241,2205
ind35,C,C5,C5B2,f,Bio,2712,2531,2614
ind36,C,C5,C5B2,m,Bio,2595,2621,2524
ind37,C,C6,C6B1,f,Conv,2774,3185,2741
ind38,C,C6,C6B2,m,Conv,2430,2126,2149
ind39,C,C6,C6B1,f,Conv,2789,3090,2965
ind40,C,C6,C6B2,m,Conv,2422,2349,2275
ind41,D,D7,D7B1,f,Bio,2604,2550,2542
ind42,D,D7,D7B1,m,Bio,2632,2297,2385
ind43,D,D7,D7B1,f,Bio,2697,2621,3203
ind44,D,D7,D7B1,m,Bio,2500,2421,2839
ind45,D,D7,D7B2,f,Bio,2472,2682,2478
ind46,D,D7,D7B2,m,Bio,2541,2719,2716
ind47,D,D7,D7B2,f,Bio,2270,2357,2668
ind48,D,D7,D7B2,m,Bio,2487,2677,2499
ind49,D,D8,D8B1,f,Conv,2690,2678,2803
ind50,D,D8,D8B1,m,Conv,2581,2447,2639
ind51,D,D8,D8B1,f,Conv,2559,2271,2319
ind52,D,D8,D8B1,m,Conv,2435,2428,2536
ind53,D,D8,D8B2,f,Conv,2541,2682,2828
ind54,D,D8,D8B2,m,Conv,2486,2536,2580
ind55,D,D8,D8B2,f,Conv,2793,2723,2720
ind56,D,D8,D8B2,m,Conv,2461,2980,2524
ind57,E,E9,E9B1,f,Bio,2546,2542,2499
ind58,E,E9,E9B1,m,Bio,2496,2361,2377
ind59,E,E9,E9B1,f,Bio,2715,2787,2735
ind60,E,E9,E9B1,m,Bio,2427,2687,2663
ind61,E,E9,E9B2,f,Bio,2513,2520,2662
ind62,E,E9,E9B2,m,Bio,2634,2677,2633
ind63,E,E9,E9B2,f,Bio,2455,2495,2344
ind64,E,E9,E9B2,m,Bio,2534,2526,2926
ind65,E,E10,E10B1,f,Conv,2385,2339,2365
ind66,E,E10,E10B1,m,Conv,2509,2599,2689
ind67,E,E10,E10B1,f,Conv,2688,2741,2820
ind68,E,E10,E10B1,m,Conv,2611,2593,2484
ind69,E,E10,E10B2,f,Conv,2477,2470,2427
ind70,E,E10,E10B2,m,Conv,2475,2422,2567
ind71,E,E10,E10B2,f,Conv,2530,2451,2374
ind72,E,E10,E10B2,m,Conv,2534,2546,2939
ind73,F,F11,F11B1,f,Bio,2405,2402,2566
ind74,F,F11,F11B1,m,Bio,2392,2738,2414
ind75,F,F11,F11B1,f,Bio,2402,2389,2371
ind76,F,F11,F11B1,m,Bio,2298,2707,2479
ind77,F,F11,F11B2,f,Bio,2502,2554,888
ind78,F,F11,F11B2,m,Bio,2308,2521,2511
ind79,F,F11,F11B2,f,Bio,2477,2534,3026
ind80,F,F11,F11B2,m,Bio,2537,2303,2303
ind81,F,F12,F12B1,f,Conv,2788,3283,2717
ind82,F,F12,F12B1,m,Conv,2624,2641,2567
ind83,F,F12,F12B1,f,Conv,2601,2516,2581
ind84,F,F12,F12B1,m,Conv,2535,2484,3169
ind85,F,F12,F12B2,f,Conv,2556,2593,2593
ind86,F,F12,F12B2,m,Conv,2505,2626,2378
ind87,F,F12,F12B2,f,Conv,2554,2591,2869
ind88,F,F12,F12B2,m,Conv,2560,2595,2704
ind89,G,G13,G13B1,f,Bio,2644,2534,2625
ind90,G,G13,G13B1,m,Bio,2565,2600,2549
ind91,G,G13,G13B1,f,Bio,2605,2757,2505
ind92,G,G13,G13B1,m,Bio,2471,2612,2578
ind93,G,G13,G13B2,f,Bio,2561,2791,3074
ind94,G,G13,G13B2,m,Bio,2451,2630,3099
ind95,G,G13,G13B2,f,Bio,2487,2326,2677
ind96,G,G13,G13B2,m,Bio,2596,3023,2567
ind97,G,G14,G14B1,f,Conv,2693,2670,2468
ind98,G,G14,G14B1,m,Conv,2452,2711,2565
ind99,G,G14,G14B1,f,Conv,2883,2235,3038
ind100,G,G14,G14B1,m,Conv,2567,2644,2892
ind101,G,G14,G14B2,f,Conv,2541,3020,3177
ind102,G,G14,G14B2,m,Conv,2594,2651,3062
ind103,G,G14,G14B2,f,Conv,2682,2611,2708
ind104,G,G14,G14B2,m,Conv,2604,3180,2953
ind105,H,H15,H15B1,f,Bio,2662,2670,2029
ind106,H,H15,H15B1,m,Bio,2537,2499,2705
ind107,H,H15,H15B1,f,Bio,2570,2730,2490
ind108,H,H15,H15B1,m,Bio,2662,3179,2785
ind109,H,H15,H15B2,f,Bio,2628,2701,2739
ind110,H,H15,H15B2,m,Bio,2443,2646,3008
ind111,H,H15,H15B2,f,Bio,2521,3073,3065
ind112,H,H15,H15B2,m,Bio,2560,2632,2453
ind113,H,H16,H16B1,f,Conv,2722,2710,3074
ind114,H,H16,H16B1,m,Conv,2424,2647,2540
ind115,H,H16,H16B2,f,Conv,2444,3097,2343
ind116,H,H16,H16B2,m,Conv,2312,2261,2250
ind117,H,H16,H16B2,f,Conv,2562,2572,2575
ind118,H,H16,H16B2,m,Conv,2492,2648,2518
ind119,I,I17,I17B1,f,Bio,2502,2723,2747
ind120,I,I17,I17B1,m,Bio,2376,2725,2358
ind121,I,I17,I17B1,f,Bio,2508,2975,3073
ind122,I,I17,I17B2,m,Bio,2496,2391,2435
ind123,I,I17,I17B2,f,Bio,2627,2567,2637
ind124,I,I17,I17B2,m,Bio,2231,2335,2342
ind125,I,I17,I17B2,f,Bio,2695,2965,2859
ind126,I,I18,I18B1,m,Conv,2544,2560,2759
ind127,I,I18,I18B1,f,Conv,2629,2640,2723
ind128,I,I18,I18B1,m,Conv,2548,2439,0
ind129,I,I18,I18B1,f,Conv,2557,2627,3232
ind130,I,I18,I19B2,m,Conv,2526,2898,2334
ind131,I,I18,I18B2,f,Conv,2521,2510,3162
ind132,I,I18,I18B2,m,Conv,2389,2762,2583
ind133,I,I18,I18B2,f,Conv,2343,2250,2337
ind134,J,J19,J19B1,m,Bio,2469,2431,0
ind135,J,J19,J19B1,f,Bio,2447,2669,2955
ind136,J,J19,J19B1,m,Bio,2514,2522,2421
ind137,J,J19,J19B1,f,Bio,2666,2737,2711
ind138,J,J19,J19B2,m,Bio,2433,2692,2836
ind139,J,J19,J19B2,f,Bio,2650,3326,3094
ind140,J,J19,J19B2,m,Bio,2420,3012,3028
ind141,J,J19,J19B2,f,Bio,2629,2619,3042
ind142,J,J20,J20B1,m,Conv,2541,2838,2922
ind143,J,J20,J20B1,f,Conv,2583,2989,2830
ind144,J,J20,J20B1,m,Conv,2323,2299,2299
ind145,J,J20,J20B1,f,Conv,2184,2251,2150
ind146,J,J20,J20B2,m,Conv,1847,0,0
ind147,J,J20,J20B2,f,Conv,2490,2566,2472
ind148,J,J20,J20B2,m,Conv,2542,2595,2609
ind149,J,J20,J20B2,f,Conv,2576,2563,2598
ind150,K,K21,K21B1,m,Bio,2228,2312,2370
ind151,K,K21,K21B1,f,Bio,2488,2570,2716
ind152,K,K21,K21B1,m,Bio,2196,2243,0
ind153,K,K21,K21B1,f,Bio,2448,2930,2490
ind154,K,K21,K21B2,m,Bio,2595,2775,3219
ind155,K,K21,K21B2,f,Bio,2832,3290,2856
ind156,K,K21,K21B2,m,Bio,2580,2647,2411
ind157,K,K21,K21B2,f,Bio,2394,2797,2600
ind158,K,K22,K22B1,m,Conv,2617,2453,2697
ind159,K,K22,K22B1,f,Conv,2595,2572,2455
ind160,K,K22,K22B2,m,Conv,2373,2371,2302
ind161,K,K22,K22B1,f,Conv,2613,2579,2375
ind162,K,K22,K22B2,m,Conv,2651,2494,2510
ind163,K,K22,K22B2,f,Conv,2753,2680,3063
ind164,L,L23,L23B1,m,Bio,2525,2566,2552
ind165,L,L23,L23B1,f,Bio,2593,3028,2938
ind166,L,L23,L23B1,m,Bio,2576,2896,2856
ind167,L,L23,L23B1,f,Bio,2731,2598,2449
ind168,L,L23,L23B2,m,Bio,2523,2837,2502
ind169,L,L23,L23B2,f,Bio,2584,2699,2948
ind170,L,L23,L23B2,m,Bio,2394,2257,2961
ind171,L,L23,L23B2,f,Bio,2415,2536,2535
ind172,L,L24,L24B1,m,Conv,2717,2640,2639
ind173,L,L24,L24B1,f,Conv,2762,2862,2696
ind174,L,L24,L24B1,m,Conv,2394,2589,2682
ind175,L,L24,L24B1,f,Conv,2703,2689,2797
ind176,L,L24,L24B2,m,Conv,2509,2452,2428
ind177,L,L24,L24B2,f,Conv,2692,2737,2798
ind178,L,L24,L24B2,m,Conv,2596,2408,2429
ind179,L,L24,L24B2,f,Conv,2727,2777,2787
ind180,M,M25,M25B1,m,Bio,2647,2572,2541
ind181,M,M25,M25B1,f,Bio,2750,2826,2790
ind182,M,M25,M25B1,m,Bio,2617,2536,2529
ind183,M,M25,M25B1,f,Bio,2657,2745,2506
ind184,M,M25,M25B2,m,Bio,2310,2483,2656
ind185,M,M25,M25B2,f,Bio,2720,2935,2492
ind186,M,M25,M25B2,m,Bio,2565,2482,2515
ind187,M,M25,M25B2,f,Bio,2402,2871,2927
ind188,M,M26,M26B1,m,Conv,2451,2528,2746
ind189,M,M26,M26B1,f,Conv,2638,2571,3081
ind190,M,M26,M26B1,m,Conv,2600,2665,2708
ind191,M,M26,M26B1,f,Conv,2735,3393,2741
ind192,M,M26,M26B2,m,Conv,2472,2829,2831
ind193,M,M26,M26B2,f,Conv,2585,2602,2814
ind194,M,M26,M26B2,m,Conv,2457,2409,2528
